,income,spending score
0,15,39
1,15,81
2,16,6
3,16,77
4,17,40
5,17,76
6,18,6
7,18,94
8,19,3
9,19,72
10,19,14
11,19,99
12,20,15
13,20,77
14,20,13
15,20,79
16,21,35
17,21,66
18,23,29
19,23,98
20,24,35
21,24,73
22,25,5
23,25,73
24,28,14
25,28,82
26,28,32
27,28,61
28,29,31
29,29,87
30,30,4
31,30,73
32,33,4
33,33,92
34,33,14
35,33,81
36,34,17
37,34,73
38,37,26
39,37,75
40,38,35
41,38,92
42,39,36
43,39,61
44,39,28
45,39,65
46,40,55
47,40,47
48,40,42
49,40,42
50,42,52
51,42,60
52,43,54
53,43,60
54,43,45
55,43,41
56,44,50
57,44,46
58,46,51
59,46,46
60,46,56
61,46,55
62,47,52
63,47,59
64,48,51
65,48,59
66,48,50
67,48,48
68,48,59
69,48,47
70,49,55
71,49,42
72,50,49
73,50,56
74,54,47
75,54,54
76,54,53
77,54,48
78,54,52
79,54,42
80,54,51
81,54,55
82,54,41
83,54,44
84,54,57
85,54,46
86,57,58
87,57,55
88,58,60
89,58,46
90,59,55
91,59,41
92,60,49
93,60,40
94,60,42
95,60,52
96,60,47
97,60,50
98,61,42
99,61,49
100,62,41
101,62,48
102,62,59
103,62,55
104,62,56
105,62,42
106,63,50
107,63,46
108,63,43
109,63,48
110,63,52
111,63,54
112,64,42
113,64,46
114,65,48
115,65,50
116,65,43
117,65,59
118,67,43
119,67,57
120,67,56
121,67,40
122,69,58
123,69,91
124,70,29
125,70,77
126,71,35
127,71,95
128,71,11
129,71,75
130,71,9
131,71,75
132,72,34
133,72,71
134,73,5
135,73,88
136,73,7
137,73,73
138,74,10
139,74,72
140,75,5
141,75,93
142,76,40
143,76,87
144,77,12
145,77,97
146,77,36
147,77,74
148,78,22
149,78,90
150,78,17
151,78,88
152,78,20
153,78,76
154,78,16
155,78,89
156,78,1
157,78,78
158,78,1
159,78,73
160,79,35
161,79,83
162,81,5
163,81,93
164,85,26
165,85,75
166,86,20
167,86,95
168,87,27
169,87,63
170,87,13
171,87,75
172,87,10
173,87,92
174,88,13
175,88,86
176,88,15
177,88,69
178,93,14
179,93,90
180,97,32
181,97,86
182,98,15
183,98,88
184,99,39
185,99,97
186,101,24
187,101,68
188,103,17
189,103,85
190,103,23
191,103,69
192,113,8
193,113,91
194,120,16
195,120,79
196,126,28
197,126,74
198,137,18
199,137,83
